,title,lyrics,artists,artistsFromList,date,rank,cnt

   Why did I one morning, when I saw bearing down on me beneath a violet hood a sweet, smooth face whose charms were symmetrically arranged about a pair of blue eyes, a face in which the curve of the nose seemed to have been absorbed, gauge from a joyous commotion in my bosom that I was not going to return home without having caught a glimpse of Mme. de Guermantes; and on the next feel the same disturbance, affect the same indifference, turn away my eyes in the same careless manner as on the day before, on the apparition, seen in profile as she crossed from a side street and crowned by a navy-blue toque, of a beak-like nose bounding a flushed cheek chequered with a piercing eye, like some Egyptian deity? Once it was not merely a woman with a bird’s beak that I saw but almost the bird itself; the outer garments, even the toque of Mme. de Guermantes were of fur, and since she thus left no cloth visible, she seemed naturally furred, like certain vultures whose thick, smooth, dusky, downy plumage suggests rather the skin of a wild beast. From the midst of this natural plumage, the tiny head arched out its beak and the two eyes on its surface were piercing-keen and blue

   One day I had been pacing up and down the street for hours on end without a vestige of Mme. de Guermantes when suddenly, inside a pastrycook’s shop tucked in between two of the mansions of this aristocratic and plebeian quarter, there appeared, took shape the vague and unfamiliar face of a fashionably dressed woman who was asking to see some little cakes, and, before I had had time to make her out, there shot forth at me like a lightning flash, reaching me sooner than its accompaniment of thunder, the glance of the Duchess; another time, having failed to meet her and hearing twelve strike, I realised that it was not worth my while to wait for her any longer, I Was sorrowfully making my way homewards; and, absorbed in my own disappointment, looking absently after and not seeing a carriage that had overtaken me, I realised suddenly that the movement of her head which I saw a lady make through the carriage window was meant for me, and that this lady, whose features, relaxed and pale, or it might equally be tense and vivid, composed, beneath a round hat which nestled at the foot of a towering plume, the face of a stranger whom I had supposed that I did not know, was Mme. de Guermantes, by whom I had let myself be greeted without so much as acknowledging her bow. And sometimes I came upon her as I entered the gate, standing outside the lodge where the detestable porter whose scrutinous eye I loathed and dreaded was in the act of making her a profound obeisance and also, no doubt, his daily report. For the entire staff of the Guermantes household, hidden behind the window curtains, were trembling as they watched a conversation which they were unable to overhear, but which meant as they very well knew that one or other of them would certainly have his ‘day out’ stopped by the Duchess to whom this Cerberus was betraying him. In view of the whole series of different faces which Mme. Guermantes displayed thus one after another, faces that occupied a relative and varying extent, contracted one day, vast the next, in her person and attire as a whole, my love was not attached to any one of those changeable and ever-changing elements of flesh and fabric which replaced one another as day followed day, and which she could modify, could almost entirely reconstruct without altering my disturbance because beneath them, beneath the new collar and the strange cheek, I felt that it was still Mme. de Guermantes. What I loved was the invisible person who set all this outward show in motion, her whose hostility so distressed me, whose approach set me trembling, whose life I would fain have made my own and driven out of it her friends. She might flaunt a blue feather or shew a fiery cheek without her actions’ losing their importance for me

   I should not myself have felt that Mme. de Guermantes was tired of meeting me day after day, had I not learned it indirectly by reading it on the face, stiff with coldness, disapproval and pity which Françoise shewed when she was helping me to get ready for these morning walks. The moment I asked her for my outdoor things I felt a contrary wind arise in her worn and battered features. I made no attempt to win her confidence, for I knew that I should not succeed. She had, for at once discovering any unpleasant thing that might have happened to my parents or myself, a power the nature of which I have never been able to fathom. Perhaps it was not supernatural, but was to be explained by sourees of information that were open to her alone: as it may happen that the news which often reaches a savage tribe several days before the post has brought it to the European colony has really been transmitted to them not by telepathy but from hill-top to hill-top by a chain of beacon fires. So, in the particular instance of my morning walks, possibly Mme. de Guermantes’s servants had heard their mistress say how tired she was of running into me every day without fail wherever she went, and had repeated her remarks to Françoise. My parents might, it is true, have attached some servant other than Françoise to my person, still I should have been no better off. Françoise was in a sense less of a servant than the others. In her way of feeling things, of being kind and pitiful, hard and distant, superior and narrow, of combining a white skin with red hands, she was still the village maiden whose parents had had ‘a place of their own’ but having come to grief had been obliged to put her into service. Her presence in our household was the country air, the social life of a farm of fifty years ago wafted to us by a sort of reversal of the normal order of travel whereby it is the place that comes to visit the person. As the glass cases in a local museum are filled with specimens of the curious handiwork which the peasants still carve or embroider or whatever it may be in certain parts of the country, so our flat in Paris was decorated with the words of Françoise, inspired by a traditional local sentiment and governed by extremely ancient laws. And she could in Paris find her way back as though by clues of coloured thread to the songbirds and cherry trees of her childhood, to her mother’s deathbed, which she still vividly saw. But in spite of all this wealth of background, once she had come to Paris and had entered our service she had acquired — as, obviously, anyone else coming there in her place would have acquired — the ideas, the system of interpretation used by the servants on the other floors, compensating for the respect which she was obliged to shew to us by repeating the rude words that the cook on the fourth floor had used to her mistress, with a servile gratification so intense that, for the first time in our lives, feeling a sort of solidarity between ourselves and the detestable occupant of the fourth floor flat, we said to ourselves that possibly we too were ‘employers’ after all. This alteration in Françoise’» character was perhaps inevitable. Certain forms of existence are so abnormal that they are bound to produce certain characteristic faults; such was the life led by the King at Versailles among his courtiers, a life as strange as that of a Pharaoh or a Doge — and, far more even than his, the life of his courtiers. The life led by our servants is probably of an even more monstrous abnormality, which only its familiarity can prevent us from seeing. But it was actually in details more intimate still that I should have been obliged, if I had dismissed Françoise, to keep the same servant. For various others might, in years to come, enter my service; already furnished with the defects common to all servants, they underwent nevertheless a rapid transformation with me. As, in the rules of tactics, an attack in one sector compels a counter-attack in another, so as not to be hurt by the asperities of my nature, all of them effected in their own an identical resilience, always at the same points, and to make up for this took advantage of the gaps in my line to thrust out advanced posts. Of these gaps I knew nothing, any more than of the salients to which they gave rise, precisely because they were gaps. But my servants, by gradually becoming spoiled, taught me of their existence. It was from the defects which they invariably acquired that I learned what were my own natural and invariable shortcomings; their character offered me a sort of negative plate of my own. We had always laughed, my mother and I, at Mme. Sazerat, who used, in speaking of her servants, expressions like ‘the lower orders’ or ‘the servant class.’ But I am bound to admit that what made it useless to think of replacing Françoise by anyone else was that her successor would inevitably have belonged just as much to the race of servants in general and to the class of my servants in particular

   To return to Françoise, I never in my life experienced any humiliation without having seen beforehand on her face a store of condolences prepared and waiting; and if then in my anger at the thought of being pitied by her I tried to pretend that on the contrary I had scored a distinct success, my lies broke feebly on the wall of her respectful but obvious unbelief and the consciousness that she enjoyed of her own infallibility. For she knew the truth. She refrained from uttering it, and made only a slight movement with her lips as if she still bad her mouth full and was finishing a tasty morsel. She refrained from uttering it, or so at least I long believed, for at that time I still supposed that it was by means of words that one communicated the truth to others. Indeed the words that people used to me recorded their meaning so unalterably on the sensitive plate of my mind that I could no more believe it to be possible that anyone who had professed to love me did not love me than Françoise herself could have doubted when she had read it in a newspaper that some clergyman or gentleman was prepared, on receipt of a stamped envelope, to furnish us free of charge with an infallible remedy for every known complaint or with the means of multiplying our income an hundredfold. (If, on the other hand, our doctor were to prescribe for her the simplest ointment to cure a cold in the head, she, so stubborn to endure the keenest suffering, would complain bitterly of what she had been made to sniff, insisting that it tickled her nose and that life was not worth living.) But she was the first person to prove to me by her example (which I was not to understand until, long afterwards, when it was given me afresh and to my greater discomfort, as will be found in the later volumes of this work, by a person who was dearer to me than Françoise) that the truth has no need to be uttered to be made apparent, and that one may perhaps gather it with more certainty, without waiting for words, without even bothering one’s head about them, from a thousand outward signs, even from certain invisible phenomena, analogous in the sphere of human character to what in nature are atmospheric changes. I might perhaps have suspected this. since to myself at that time it frequently occurred that I said things in which there was no vestige of truth, while I made the real truth plain by all manner of involuntary confidences expressed by my body and in my actions (which were at once interpreted by Françoise); I ought perhaps to have suspected it, but to do so I should first have had to be conscious that I myself was occasionally untruthful and dishonest. Now untruthfulness and dishonesty were with me, as with most people; called into being in so immediate, so contingent a fashion, and in self-defence, by some particular interest, that my mind, fixed on some lofty ideal, allowed my character, in the darkness below, to set about those urgent, sordid tasks, and did net look down to observe them. When Françoise, in the evening, was polite to me, and asked my permission before sitting down in my room, it seemed as though her face became transparent and I could see the goodness and honesty that lay beneath. But Jupien, who had lapses into indiscretion of which I learned only later, revealed afterwards that she had told him that I was not worth the price of a rope to hang me, and that I had tried to insult her in every possible way. These words of Jupien set up at once before my eyes, in new and strange colours, a print of the picture of my relations with Françoise so different from that on which I used to like letting my eyes rest, and in which, without the least possibility of doubt, Françoise adored me and lost no opportunity of singing my praises, that I realised that it is not only the material world that is different from the aspect in which we see it; that all reality is perhaps equally dissimilar from what we think ourselves to be directly perceiving; that the trees, the sun and the sky would not be the same as what we see if they were apprehended by creatures having eyes differently constituted from ours, or, better still, endowed for that purpose with organs other than eyes which would furnish trees and sky and sun with equivalents, though not visual. However that might be, this sudden outlet which Jupien threw open for me upon the real world appalled me. So far it was only Françoise that was revealed, and of her I barely thought. Was it the same with all one’s social relations? And in what depths of despair might this not some day plunge me, if it were the same with love? That was the future’s secret. For the present only Françoise was concerned. Did she sincerely believe what she had said to Jupien? Had she said it to embroil Jupien with me, possibly so that we should not appoint Jupien’s girl as her successor? At any rate I realised the impossibility of obtaining any direct and certain knowledge of whether Françoise loved or lothed me. And thus it was she who first gave me the idea that a person does not (as I had imagined) stand motionless and clear before our eyes with his merits, his defects, his plans, his intentions with regard to ourself exposed on his surface, like a garden at which, with all its borders spread out before us, we gaze through a railing, but is a shadow which we can never succeed in penetrating, of which there can be no such thing as direct knowledge, with respect to which we form countless beliefs, based upon his words and sometimes upon his actions, though neither words nor actions can give us anything but inadequate and as it proves contradictory information — a shadow behind which we can alternately imagine, with equal justification, that there burns the flame of hatred and of love

   I was genuinely in love with Mme. de Guermantes. The greatest happiness that I could have asked of God would have been that He should overwhelm her under every imaginable calamity, and that ruined, despised, stripped of all the privileges that divided her from me, having no longer any home of her own or people who would condescend to speak to her, she should come to me for refuge. I imagined her doing so. And indeed on those evenings when some change in the atmosphere or in my own condition brought to the surface of my consciousness some forgotten scroll on which were recorded impressions of other days, instead of profiting by the refreshing strength that had been generated in me, instead of employing it to decipher in my own mind thoughts which as a rule escaped me, instead of setting myself at last to work, I preferred to relate aloud, to plan out in the third person, with a flow of invention as useless as was my declamation of it, a whole novel crammed with adventure, in which the Duchess, fallen upon misfortune, came to implore assistance from me — me who had become, by a converse change of circumstances, rich and powerful. And when I had let myself thus for hours on end imagine the circumstances, rehearse the sentences with which I should welcome the Duchess beneath my roof, the situation remained unaltered; I had, alas, in reality, chosen to love the very woman who, in her own person, combined perhaps the greatest possible number of different advantages; in whose eyes, accordingly, I could not hope, myself, ever to cut any figure; for she was as rich as the richest commoner — and noble also; without reckoning that personal charm which set her at the pinnacle of fashion, made her among the rest a sort of queen

   I felt that I was annoying her by crossing her path in this way every morning; but even if I had had the courage to refrain, for two or three days consecutively, from doing so, perhaps that abstention, which would have represented so great a sacrifice on my part, Mme. de Guermantes would not have noticed, or would have set it down to some obstacle beyond my control. And indeed I could not have succeeded in making myself cease to track her down except by arranging that it should be impossible for me to do so, for the need incessantly reviving in me to meet her, to be for a moment the object of her attention, the person to whom her bow was addressed, was stronger than my fear of arousing her displeasure. I should have had to go away for some time; and for that I had not the heart. I did think of it more than once. I would then tell Françoise to pack my boxes, and immediately afterwards to unpack them. And as the spirit of imitation, the desire not to appear behind the times, alters the most natural and most positive form of oneself, Françoise, borrowing the expression from her daughter’s vocabulary, used to remark that I was ‘dippy.’ She did not approve of this; she said that I was always ‘balancing,’ for she made use, when she was not aspiring to rival the moderns, of the language of Saint-Simon. It is true that she liked it still less when I spoke to her as master to servant. She knew that this was not natural to me, and did not suit me, a condition which she rendered in words as ‘where there isn’t a will.’ I should never have had the heart to leave Paris except in a direction that would bring me closer to Mme. de Guermantes. This was by no means an impossibility. Should I not indeed find myself nearer to her than I was in the morning, in the street, solitary, abashed, feeling that not a single one of the thoughts which I should have liked to convey to her ever reached her, in that weary patrolling up and down of walks which might be continued, day after day, for ever without the slightest advantage to myself, if I were to go miles away from Mme. de Guermantes, but go to some one of her acquaintance, some one whom she knew to be particular in the choice of his friends and who would appreciate my good qualities, would be able to speak to her about me, and if not to obtain it from her at least to make her know what I wanted, some one by means of whom, in any event, simply because I should discuss with him whether or not it would be possible for him to convey this or that message to her, I should give to my solitary and silent meditations a new form, spoken, active, which would seem an advance, almost a realisation. What she did during the mysterious daily life of the ‘Guermantes’ that she was — this was the constant object of my thoughts; and to break through the mystery, even by indirect means, as with a lever, by employing the services of a person to whom were not forbidden the town house of the Duchess, her parties, unrestricted conversation with her, would not that be a contact more distant but at the same time more effective than my contemplation of her every morning in the street?

   The friendship, the admiration that Saint-Loup felt for me seemed to me undeserved and had hitherto left me unmoved. All at once I attached a value to them, I would have liked him to disclose them to Mme. de Guermantes, I was quite prepared even to ask him to do so. For when we are in love, all the trifling little privileges that we enjoy we would like to be able to divulge to the woman we love, as people who have been disinherited and bores of other kinds do to us in everyday life. We are distressed by her ignorance of them; we seek consolation in the thought that just because they are never visible she has perhaps added to the opinion which she already had of us this possibility of further advantages that must remain unknown

   Saint-Loup had not for a long time been able to come to Paris, whether, as he himself explained, on account of his military duties, or, as was more likely, on account of the trouble that he was having with his mistress, with whom he had twice now been on the point of breaking off relations. He had often told me what a pleasure it would be to him if I came to visit him at that garrison town, the name of which, a couple of days after his leaving Balbec, had caused me so much joy when I had read it on the envelope of the first letter I received from my friend. It was (not so far from Balbec as its wholly inland surroundings might have led one to think) one of those little fortified towns, aristocratic and military, set in a broad expanse of country over which on fine days there floats so often into the distance a sort of intermittent haze of sound which — as a screen of poplars by its sinuosities outlines the course of a river which one cannot see — indicates the movements of a regiment on parade, so that the very atmosphere of its streets, avenues and squares has been gradually tuned to a sort of perpetual vibration, musical and martial, while the most ordinary note of cartwheel or tramway is prolonged in vague trumpet calls, indefinitely repeated, to the hallucinated ear, by the silence. It was not too far away from Paris for me to be able, if I took the express, to return, join my mother and grandmother and sleep in my own bed. As soon as I realised this, troubled by a painful longing, I had too little will power to decide not to return to Paris but rather to stay in this town; but also too little to prevent a porter from carrying my luggage to a cab and not to adopt, as I walked behind him, the unburdened mind of a traveller who is looking after his luggage and for whom no grandmother is waiting anywhere at home, to get into the carriage with the complete detachment of a person who, having ceased to think of what it is that he wants, has the air of knowing what he wants, and to give the driver the address of the cavalry barracks. I thought that Saint-Loup might come to sleep that night at the hotel at which I should be staying, so as to make less painful for me the first shock of contact with this strange town. One of the guard went to find him, and I waited at the barrack gate, before that huge ship of stone, booming with the November wind, out of which, every moment, for it was now six o’clock, men were emerging in pairs into the street, staggering as if they were coming ashore in some foreign port in which they found themselves temporarily anchored

   Saint-Loup appeared, moving like a whirlwind, his eyeglass spinning in the air before him; I had not given my name, I was eager to enjoy his surprise and delight. “Oh! What a bore!” he exclaimed, suddenly catching sight of me, and blushing to the tips of his ears. “I have just had a week’s leave, and I shan’t be off duty again for another week.”

   And, preoccupied by the thought of my having to spend this first night alone, for he knew better than anyone my bed-time agonies, which he had often remarked and soothed at Balbec, he broke off his lamentation to turn and look at me, coax me with little smiles, with tender though unsymmetrical glances, half of them coming directly from his eye, the other half through his eyeglass, but both sorts alike an allusion to the emotion that he felt on seeing me again, an allusion also to that important matter which I did not always understand but which concerned me now vitally, our friendship

    “I say! Where are you going to sleep? Really, I can’t recommend the hotel where we mess; it is next to the Exhibition ground, where there’s a show just starting; you’ll find it beastly crowded. No, you’d better go to the Hôtel de Flandre; it is a little eighteenth-century palace with old tapestries. It ‘makes’ quite an ‘old-world residence.’”

   Saint-Loup employed in every connexion the word ‘makes’ for ‘has the air of,’ because the spoken language, like the written, feels from time to time the need of these alterations in the meanings of words, these refinements of expression. And just as journalists often have not the least idea from what school of literature come the ‘turns of speech’ that they borrow, so the vocabulary, the very diction of Saint-Loup were formed in imitation of three different aesthetes, none of whom he knew personally but whose way of speaking had been indirectly instilled into him. “Besides,” he concluded, “the hotel I mean is more or less adapted to your supersensitiveness of hearing. You will have no neighbours. I quite see that it is a slender advantage, and as, after all, another visitor may arrive to-morrow, it would not be worth your while to choose that particular hotel with so precarious an object in view. No, it is for its appeal to the eye that I recommend it. The rooms are quite attractive, all the furniture is old and comfortable; there is something reassuring about that.” But to me, less of an artist than Saint-Loup, the pleasure that an attractive house could give was superficial, almost non-existent, and could not calm my growing anguish, as painful as that which I used to feel long ago at Combray when my mother did not come upstairs to say good night, or that which I felt on the evening of my arrival at Balbec in the room with the unnaturally high ceiling, which smelt of flowering grasses. Saint-Loup read all this in my fixed gaze

    “A lot you care, though, about this charming palace, my poor fellow; you’re quite pale; and here am I like a great brute talking to you about tapestries which you won’t have the heart to look at, even. I know the room they’ll put you in; personally I find it most enlivening, but I can quite understand that it won’t have the same effect on you with your sensitive nature. You mustn’t think I don’t understand; I don’t feel the same myself, but I can put myself in your place.”

   At that moment a serjeant who was exercising a horse on the square, entirely absorbed in making the animal jump, disregarding the salutes of passing troopers, but hurling volleys of oaths at such as got in his way, turned with a smile to Saint-Loup and, seeing that he had a friend with him, saluted us. But his horse at once reared. Saint-Loup flung himself at its head, caught it by the bridle, succeeded in quieting it and returned to my side

    “Yes,” he resumed; “I assure you that I fully understand; I feel for you as keenly as you do yourself. I am wretched,” he went on, laying his hand lovingly on my shoulder, “when I think that if I could have stayed with you to-night, I might have been able, if we talked till morning, to relieve you of a little of your unhappiness. I can lend you any number of books, but you won’t want to read if you’re feeling like that. And I shan’t be able to get anyone else to take my duty here; I’ve been off now twice running because my girl came down to see me.”

   And he knitted his brows partly with vexation and also in the effort to decide, like a doctor, what remedy he might best apply to my disease

    “Run along and light the fire in my quarters,” he called to a trooper who passed us. “Hurry up; get a move on!”

   After which he turned once more to me, and his eyeglass and his peering, myopic gaze hinted an allusion to our great friendship

    “No! To see you here, in these barracks where I have spent so much time thinking about you, I can scarcely believe my eyes. I must be dreaming. And how are you? Better, I hope. You must tell me all about yourself presently. We’ll go up to my room; we mustn’t hang about too long on the square, there’s the devil of a draught; I don’t feel it now myself, but you aren’t accustomed to it, I’m afraid of your catching cold. And what about your work; have you started yet? No? You are a quaint fellow! If I had your talent I’m sure I should be writing morning, noon and night. It amuses you more to do nothing? What a pity it is that it’s the useless fellows like me who are always ready to work, and the ones who could if they wanted to, won’t. There, and I’ve clean forgotten to ask you how your grandmother is. Her Proudhons are in safe keeping. I never part from them.”

   An officer, tall, handsome, majestic, emerged with slow and solemn gait from the foot of a staircase. Saint-Loup saluted him and arrested the perpetual instability of his body for the moment occupied in holding his hand against the peak of his cap. But he had flung himself into the action with so much force, straightening himself with so sharp a movement, and, the salute ended, let his hand fall with so abrupt a relaxation, altering all the positions of shoulder, leg, and eyeglass, that this moment was one not so much of immobility as of a throbbing tension in which were neutralised the excessive movements which he had just made and those on which he was about to embark. Meanwhile the officer, without coming any nearer us, calm, benevolent, dignified, imperial, representing, in short, the direct opposite of Saint-Loup, himself also, but without haste, raised his hand to the peak of his cap

    “I must just say a word to the Captain,” whispered Saint-Loup. “Be a good fellow, and go and wait for me in my room. It’s the second on the right, on the third floor; I’ll be with you in a minute.”

   And setting off at the double, preceded by his eyeglass which fluttered in every direction, he made straight for the slow and stately Captain whose horse had just been brought round and who, before preparing to mount, was giving orders with a studied nobility of gesture as in some historical painting, and as though he were setting forth to take part in some battle of the First Empire, whereas he was simply going to ride home, to the house which he had taken for the period of his service at Doncières, and which stood in a Square that was named, as though in an ironical anticipation of the arrival of this Napoleonid, Place de la République. I started to climb the staircase, nearly slipping on each of its nail-studded steps, catching glimpses of barrack-rooms, their bare walls edged with a double line of beds and kits. I was shewn Saint-Loup’s room. I stood for a moment outside its closed door, for I could hear some one stirring; he moved something, let fall something else; I felt that the room was not empty, that there must be somebody there. But it was only the freshly lighted fire beginning to burn. It could not keep quiet, it kept shifting its faggots about, and very clumsily. I entered the room; it let one roll into the fender and set another smoking. And even when it was not moving, like an ill-bred person it made noises all the time, which, from the moment I saw the flames rising, revealed themselves to me as noises made by a fire, although if I had been on the other side of a wall I should have thought that they came from some one who was blowing his nose and walking about. I sat down in the room and waited. Liberty hangings and old German stuffs of the eighteenth century managed to rid it of the smell that was exhaled by the rest of the building, a coarse, insipid, mouldy smell like that of stale toast. It was here, in this banning room, that I could have dined and slept with a calm and happy mind Saint-Loup seemed almost to be present by reason of the text-books which littered his table, between his photographs, among which I could make out my own and that of the Duchesse de Guermantes, by the light of the fire which had at length grown accustomed to the grate, and, like an animal crouching in an ardent, noiseless, faithful watchfulness, let fall only now and then a smouldering log which crumbled into sparks, or licked with a tongue of flame the sides of the chimney. I heard the tick of Saint-Loup’s watch, which could not be far away. This tick changed its place every moment ‘for I could not see the watch; it seemed to come from behind, from in front of me, from my right, from my left, sometimes to die away as though at a great distance. Suddenly I caught sight of the watch on the table. Then I heard the tick in a fixed place from which it did not move again. That is to say, I thought I heard it at this place; I did not hear it there; I saw it there, for sounds have no position in space. Or rather we associate them with movements, and in that way they serve the purpose of warning us of those movements, of appearing to make them necessary and natural. Certainly it happens commonly enough that a sick man whose ears have been stopped with cotton-wool ceases to hear the noise of a fire such as was crackling at that moment in Saint-Loup’s fireplace, labouring at the formation of brands and cinders, which it then lets fall into the fender, nor would he hear the passage of the tramway-cars whose music took its flight, at regular intervals, over the Grand’place of Doncières. Let the sick man then read a book, and the pages will turn silently before him, as though they were moved by the fingers of a god. The dull thunder of a bath which is being filled becomes thin, faint and distant as the twittering of birds in the sky. The withdrawal of sound, its dilution, take from it all its power to hurt us; driven mad a moment ago by hammer-blows which seemed to be shattering the ceiling above our head, it is with a quiet delight that we now gather in their sound, light, caressing, distant, like the murmur of leaves playing by the roadside with the passing breeze. We play games of patience with cards which we do not hear, until we imagine that we have not touched them, that they are moving of their own accord, and, anticipating our desire to play with them, have begun to play with us. And in this connexion we may ask ourselves whether, in the case of love (to which indeed we may add the love of life and the love of fame, since there are, it appears, persons who are acquainted with these latter sentiments), we ought not to act like those who, when a noise disturbs them, instead of praying that it may cease, stop their ears; and, with them for our pattern, bring our attention, our defensive strength to bear on ourselves, give ourselves as an objective to capture not the ‘other person’ with whom we are in love but our capacity for suffering at that person’s hands

   To return to the problem of sounds, we have only to thicken the wads which close the aural passages, and they confine to a pianissimo the girl who has just been playing a boisterous tune overhead; if we go farther, and steep the wad in grease, at once the whole household must obey its despotic rule; its laws extend even beyond our portals. Pianissimo is not enough; the wad instantly orders the piano to be shut, and the music lesson is abruptly ended; the gentleman who was walking up and down in the room above breaks off in the middle of his beat; the movement of carriages and tramways is interrupted as though a Sovereign were expected to pass. And indeed this attenuation of sounds sometimes disturbs our slumbers instead of guarding them. Only yesterday the incessant noise in our ears, by describing to us in a continuous narrative all that was happening in the street and in the house, succeeded at length in making us sleep, like L boring book; to-night, through the sheet of silence that is spread over our sleep a shock, louder than the rest, manages to make itself heard, gentle as a sigh, unrelated to any other sound, mysterious; and the call for an explanation which it emits is sufficient to awaken us. Take away for a moment from the sick man the cotton-wool that has been stopping his ears and in a flash the full daylight, the sun of sound dawns afresh, dazzling him, is born again in his universe; in all haste returns the multitude of exiled sounds; we are present, as though it were the chanting of choirs of angels, at the resurrection of the voice. The empty streets are filled for a moment with the whirr of the swift, consecutive wings of the singing tramway-cars. In the bedroom itself, the sick man has created, not, like Prometheus, fire, but the sound of fire. And when we increase or reduce the wads of cottonwool, it is as though we were pressing alternately one and the other of the two pedals with which we have extended the resonant compass of the outer world

   Only there are also suppressions of sound which are not temporary. The man who has grown completely deaf cannot even heat a pan of milk by his bedside, but he must keep an eye open to watch, on the tilted lid, for the white, arctic reflexion, like that of a coming snowstorm, which is the warning sign which he is wise to obey, by cutting off (as Our Lord bade the waves be still) the electric current; for already the swelling, jerkily climbing egg of boiling milk-film is reaching its climax in a series of sidelong movements, has filled and set bellying the drooping sails with which the cream has skimmed its surface, sends in a sudden storm a scud of pearly substance flying overboard — sails which the cutting off of the current, if the electric storm is hushed in time, will fold back upon themselves and let fall with the ebbing tide, changed now to magnolia petals. But if the sick man should not be quick enough in taking the necessary precautions, presently, when his drowned books and watch are seen barely emerging from the milky tide, he will be obliged to call the old nurse who, though he be himself an eminent statesman or a famous writer, will tell him that he has no more sense than a child of five. At other times in the magic chamber, between us and the closed door, a person who was not there a moment ago makes his appearance; it is a visitor whom we did not hear coming in, and who merely gesticulates, like a figure in one of those little puppet theatres, so restful for those who have taken a dislike to the spoken tongue. And for this totally deaf man, since the loss of a sense adds as much beauty to the world as its acquisition, it is with ecstasy that he walks now upon an earth grown almost an Eden, in which sound has not yet been created. The highest waterfalls unfold for his eyes alone their ribbons of crystal, stiller than the glassy sea, like the cascades of Paradise. As sound was for him before his deafness the perceptible form in which the cause of a movement was draped, objects moved without sound seemed to be being moved also without cause; deprived of all resonant quality, they shew a spontaneous activity, seem to be alive. They move, halt, become alight of their own accord. Of their own accord they vanish in the air like the winged monsters of prehistoric days. In the solitary and unneighboured home of the deaf man the service which, before his infirmity was complete, was already shewing an increased discretion, was being carried on in silence, is now assured him with a sort of surreptitious deftness, by mutes, as at the court of a fairy-tale king. And, as upon the stage, the building on which the deaf man looks from his window — be it barracks, church, or town hall — is only so much scenery. If one day it should fall to the ground, it may emit a cloud of dust and leave visible ruins; but, less material even than a palace on the stage, though it has not the same exiguity, it will subside in the magic universe without letting the fall of its heavy blocks of stone tarnish, with anything so vulgar as sound, the chastity of the prevailing silence

   The silence, though only relative, which reigned in the little barrack-room where I sat waiting was now broken. The door opened and Saint-Loup, dropping his eyeglass, dashed in

    “Ah, my dear Robert, you make yourself very comfortable here,” I said to him; “how jolly it would be if one were allowed to dine and sleep here.”

   And to be sure, had it not been against the regulations, what repose untinged by sadness I could have tasted there, guarded by that atmosphere of tranquillity, vigilance and gaiety which was maintained by a thousand wills controlled and free from care, a thousand heedless spirits, in that great community called a barracks where, time having taken the form of action, the sad bell that tolled the hours outside was replaced by the same joyous clarion of those martial calls, the ringing memory of which was kept perpetually alive in the paved streets of the town, like the dust that floats in a sunbeam; — a voice sure of being heard, and musical because it was the command not only of authority to obedience but of wisdom to happiness

    “So you’d rather stay with me and sleep here, would you, than to go the hotel by yourself?” Saint-Loup asked me, smiling

    “Oh, Robert, it is cruel of you to be sarcastic about it,” I pleaded; “you know it’s not possible, and you know how wretched I shall be over there.”

    “Good! You flatter me!” he replied. “It occurred to me just now that you would rather stay here to-night. And that is precisely what I stopped to ask the Captain.”

    “And he has given you leave?” I cried

    “He hadn’t the slightest objection.”

    “Oh! I adore him!”

    “No; that would be going too far. But now, let me just get hold of my batman and tell him to see about our dinner,” he went on, while I turned away so as to hide my tears

   We were several times interrupted by one or other of Saint-Loup’s friends’ coming in. He drove them all out again

    “Get out of here. Buzz off!”

   I begged him to let them stay

    “No, really; they would bore you stiff; they are absolutely uncultured; all they can talk about is racing, or stables shop. Besides, I don’t want them here either; they would spoil these precious moments I’ve been looking forward to. But you mustn’t think, when I tell you that these fellows are brainless, that everything military is devoid of intellectuality. Far from it. We have a major here who is a splendid chap. He’s given us a course in which military history is treated like a demonstration, like a problem in algebra. Even from the aesthetic point of view there is a curious beauty, alternately inductive and deductive, about it which you couldn’t fail to appreciate.”

    “That’s not the officer who’s given me leave to stay here to-night?”

    “No; thank God! The man you ‘adore’ for so very trifling a service is the biggest fool that ever walked the face of the earth. He is perfect at looking after messing, and at kit inspections; he spends hours with the serjeant major and the master tailor. There you have his mentality. Apart from that he has a vast contempt, like everyone here, for the excellent major I was telling you about. No one will speak to him because he’s a freemason and doesn’t go to confession. The Prince de Borodino would never have an outsider like that in his house. Which is pretty fair cheek, when all’s said and done, from a man whose great-grandfather was a small farmer, and who would probably be a small farmer himself if it hadn’t been for the Napoleonic wars. Not that he hasn’t a lurking sense of his own rather ambiguous position in society, where he’s neither flesh nor fowl. He hardly ever shews his face at the Jockey, it makes him feel so deuced awkward, this so-called Prince,” added Robert, who, having been led by the same spirit of imitation to adopt the social theories of his teachers and the worldly prejudices of his relatives, had unconsciously wedded the democratic love of humanity to a contempt for the nobility of the Empire

